run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,arrival_departure,scheduled_charter,number_flights_matched,actual_flights_unmatched,number_flights_cancelled,flights_more_than_15_minutes_early_percent,flights_15_minutes_early_to_1_minute_early_percent,flights_0_to_15_minutes_late_percent,flights_between_16_and_30_minutes_late_percent,flights_between_31_and_60_minutes_late_percent,flights_between_61_and_120_minutes_late_percent,flights_between_121_and_180_minutes_late_percent,flights_between_181_and_360_minutes_late_percent,flights_more_than_360_minutes_late_percent,flights_unmatched_percent,flights_cancelled_percent,average_delay_mins,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
07/02/2019 12:51,201812,LEEDS BRADFORD,HUNGARY,BUDAPEST,JET2.COM LTD,A,S,8,0,0,50.000000,25.000000,12.500000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4,9,66.666667,12
07/02/2019 12:51,201812,LEEDS BRADFORD,HUNGARY,BUDAPEST,JET2.COM LTD,D,S,8,0,0,0.000000,75.000000,25.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2,9,88.888889,6
07/02/2019 12:51,201812,LEEDS BRADFORD,LATVIA,RIGA,RYANAIR,A,S,9,0,0,22.222222,55.555556,11.111111,0.000000,11.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,10,70.000000,10
07/02/2019 12:51,201812,LEEDS BRADFORD,LATVIA,RIGA,RYANAIR,D,S,9,0,0,0.000000,44.444444,55.555556,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,10,90.000000,7
07/02/2019 12:51,201812,LEEDS BRADFORD,LITHUANIA,VILNIUS,RYANAIR,A,S,7,0,0,0.000000,14.285714,71.428571,14.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,9,55.555556,46
07/02/2019 12:51,201812,LEEDS BRADFORD,LITHUANIA,VILNIUS,RYANAIR,D,S,7,0,0,0.000000,42.857143,57.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,9,55.555556,36
07/02/2019 12:51,201812,LEEDS BRADFORD,POLAND,GDANSK,RYANAIR,A,S,14,0,0,7.142857,57.142857,14.285714,21.428571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,15,73.333333,12
07/02/2019 12:51,201812,LEEDS BRADFORD,POLAND,GDANSK,RYANAIR,D,S,14,0,0,0.000000,35.714286,57.142857,7.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5,16,75.000000,50
07/02/2019 12:51,201812,LEEDS BRADFORD,POLAND,KRAKOW,JET2.COM LTD,A,S,8,0,0,50.000000,12.500000,25.000000,0.000000,12.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7,0,0.000000,
07/02/2019 12:51,201812,LEEDS BRADFORD,POLAND,KRAKOW,JET2.COM LTD,D,S,8,0,0,0.000000,37.500000,62.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0,0.000000,
